,name,album,artist,release_date,length,popularity,track_id,mode,acousticness,danceability,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,duration_ms,time_signature,genre
45,Beija Eu,Silva Canta Marisa,Silva,2016-11-18,195400,61,4LBupHhBSFZCXhPteUWWY3,1,0.899,0.7609999999999999,0.262,7.48e-05,0.13,0.507,-9.56,0.0839,146.954,195400,3,[]
46,Me & You (feat. IRO),XOXO (Music from the Netflix Original Film),Various Artists,2016-08-26,327272,62,2WTCoQLkQ9FPdvThkf8nN1,0,0.166,0.78,0.63,0.156,0.105,0.367,-6.52,0.0334,120.988,327273,4,"['reggaeton', 'reggaeton flow']"
47,I Feel It Coming,Starboy,The Weeknd,2016-11-25,269186,79,3dhjNA0jGA8vHBQ1VdD6vV,0,0.428,0.773,0.8190000000000001,0.0,0.0679,0.585,-5.946000000000001,0.118,92.98700000000001,269187,4,"['canadian contemporary r&b', 'canadian pop', 'pop']"
48,Infiel - Ao Vivo,Marília Mendonça - Ao Vivo,Marília Mendonça,2016-03-04,201904,61,38MpAndIjGAyVdcC6npX95,0,0.6859999999999999,0.852,0.684,1.76e-05,0.145,0.616,-5.915,0.0377,126.08,201905,4,"['pop nacional', 'sertanejo universitario']"
49,One Dance,Views,Drake,2016-05-06,173986,81,1zi7xx7UVEFkmKfv06H8x0,1,0.00776,0.792,0.625,0.0018,0.329,0.37,-5.609,0.0536,103.967,173987,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
50,Me Namora (feat. Edu Ribeiro) - Natiruts Reggae Brasil - Ao Vivo,Natiruts Reggae Brasil (Ao Vivo) [Deluxe],Natiruts,2016-08-19,196493,61,0gRNBFAXFhq1Z8QgTd0aXI,1,0.16,0.604,0.847,6.65e-06,0.7809999999999999,0.919,-7.516,0.0428,77.991,196493,4,"['brazilian reggae', 'reggae tuga']"
51,Flor e o Beija-Flor - Ao Vivo,Novas Histórias (Ao Vivo),Henrique & Juliano,2016-03-18,190226,60,0phVJ23NJlruwtt1XCm94N,1,0.8009999999999999,0.461,0.477,0.0,0.6629999999999999,0.459,-6.454,0.0314,203.879,190227,4,"['pagode', 'pagode novo']"
52,This Girl (Kungs Vs. Cookin' On 3 Burners),Layers,Kungs,2016-11-04,195546,77,1A8j067qyiNwQnZT0bzUpZ,0,0.0927,0.792,0.7170000000000001,3.59e-05,0.226,0.466,-4.758999999999999,0.0393,121.985,195547,4,"['edm', 'new french touch', 'tropical house']"
53,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016-05-06,236001,77,6JV2JOEocMgcZxYSZelKcc,1,0.0123,0.667,0.83,0.0,0.191,0.701,-5.715,0.0749,113.03,236002,4,"['dance pop', 'pop']"
54,"Psycho, Pt. 2","Psycho, Pt. 2",Russ,2016-11-08,161985,78,26OhjtaTamFocE08t83ml6,1,0.775,0.7659999999999999,0.5479999999999999,5.57e-06,0.1,0.424,-4.29,0.235,82.944,161985,4,"['rap', 'southern hip hop', 'tennessee hip hop', 'trap', 'vapor trap']"
55,Provavelmente,Provavelmente,Hungria Hip Hop,2016-10-17,245504,60,1E2R5JS5pHLLQowZ4xjpiB,0,0.273,0.8959999999999999,0.424,0.0,0.166,0.433,-11.086,0.159,120.068,245505,4,"['brazilian edm', 'brazilian hip hop', 'rap df', 'trap brasileiro']"
56,Don't Let Me Down (feat. Daya),Don't Let Me Down (feat. Daya),The Chainsmokers,2016-02-05,208373,79,1i1fxkWeaMmKEB4T7zqbzK,1,0.157,0.532,0.8690000000000001,0.005079999999999999,0.136,0.422,-5.093999999999999,0.172,159.803,208373,4,"['dance pop', 'edm', 'electropop', 'pop', 'tropical house']"
57,Na Hora da Raiva - Ao Vivo,Novas Histórias (Ao Vivo),Henrique & Juliano,2016-03-18,174293,60,0Zu7NVn4IvfYuEIrD11UVr,1,0.321,0.55,0.878,5.96e-06,0.89,0.448,-2.885,0.0509,117.964,174293,4,"['pagode', 'pagode novo']"
58,In the Name of Love,In the Name of Love,Martin Garrix,2016-07-29,195706,78,23L5CiUhw2jV1OIMwthR3S,0,0.109,0.501,0.519,0.0,0.454,0.168,-5.88,0.0409,133.99,195707,4,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'progressive house', 'tropical house']"
59,Atos 2,EP Gabriela Rocha,Gabriela Rocha,2016-11-04,314746,60,0L3UFMmq5An0W3j1Q9cLG6,1,0.5489999999999999,0.176,0.513,0.025,0.303,0.216,-8.675,0.0365,156.776,314747,3,"['adoracao', 'brazilian gospel']"
60,Cake By The Ocean,DNCE,DNCE,2016-11-18,219146,79,76hfruVvmfQbw0eYn1nmeC,0,0.152,0.774,0.753,0.0,0.0371,0.8959999999999999,-5.446000000000001,0.0517,119.002,219147,4,"['dance pop', 'pop', 'pop rock', 'post-teen pop']"
61,Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),Fifth Harmony,2016-05-27,214480,77,4tCtwWceOPWzenK2HAIJSb,1,0.103,0.8029999999999999,0.585,3.94e-06,0.0644,0.593,-5.861000000000001,0.0432,105.017,214480,4,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show']"
62,O Nosso Santo Bateu - Na Praia / Ao Vivo,Na Praia (Ao Vivo),Matheus & Kauan,2016-02-26,187133,60,5C0wi5U4l0YUv7yIKe2TEe,1,0.22,0.479,0.736,0.0,0.731,0.405,-4.581,0.127,141.89,187133,4,"['pop nacional', 'sertanejo universitario']"
